PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Total Spend,Delivery Days,Order Month,Negotiation Savings,Defect Rate %
PO-00183,Delta_Logistics,16-05-2023,24-05-2023,Packaging,Partially Delivered,920,73.09,70.14,,Yes,67242.8,8,May-23,2714,0%
PO-00184,Epsilon_Group,20-01-2022,30-01-2022,Packaging,Partially Delivered,844,26.37,25.08,38,Yes,22256.28,10,Jan-22,1088.76,5%
PO-00185,Epsilon_Group,25-04-2022,,MRO,Delivered,442,41.73,36.45,15,Yes,18444.66,-44676,Apr-22,2333.76,3%
PO-00186,Beta_Supplies,07-01-2023,21-01-2023,Electronics,Cancelled,256,96.15,83.44,26,Yes,24614.4,14,Jan-23,3253.76,10%
PO-00187,Delta_Logistics,11-11-2022,,MRO,Partially Delivered,1088,55.29,53.04,161,No,60155.52,-44876,Nov-22,2448,15%
PO-00188,Beta_Supplies,03-09-2022,07-09-2022,Office Supplies,Delivered,1931,72.88,64.69,187,Yes,140731.28,4,Sep-22,15814.89,10%
PO-00189,Gamma_Co,01-03-2022,11-03-2022,Electronics,Delivered,1627,25.76,25.09,74,Yes,41911.52,10,Mar-22,1090.09,5%
PO-00190,Beta_Supplies,04-09-2022,,Packaging,Delivered,941,28.4,27.21,,No,26724.4,-44808,Sep-22,1119.79,0%
PO-00191,Gamma_Co,04-08-2023,06-08-2023,MRO,Delivered,1534,14.98,12.79,,Yes,22979.32,2,Aug-23,3359.46,0%
PO-00192,Alpha_Inc,22-03-2022,03-04-2022,Raw Materials,Delivered,1764,25.46,24.52,46,Yes,44911.44,12,Mar-22,1658.16,3%
PO-00193,Delta_Logistics,29-03-2022,06-04-2022,Electronics,Delivered,1648,35.42,31.46,,No,58372.16,8,Mar-22,6526.08,0%
PO-00194,Gamma_Co,13-05-2023,01-06-2023,Packaging,Delivered,913,28.01,24.06,53,Yes,25573.13,19,May-23,3606.35,6%
PO-00195,Alpha_Inc,12-03-2022,18-03-2022,Packaging,Cancelled,792,18.16,17.25,17,Yes,14382.72,6,Mar-22,720.72,2%
PO-00196,Epsilon_Group,30-06-2023,03-07-2023,Office Supplies,Partially Delivered,1314,22.63,21.06,44,Yes,29735.82,3,Jun-23,2062.98,3%
PO-00197,Beta_Supplies,09-05-2022,22-05-2022,MRO,Delivered,613,52.5,45.19,70,Yes,32182.5,13,May-22,4481.03,11%
PO-00198,Alpha_Inc,12-05-2022,20-05-2022,Office Supplies,Delivered,1070,29.14,26.63,24,Yes,31179.8,8,May-22,2685.7,2%
PO-00199,Gamma_Co,07-11-2023,26-11-2023,Raw Materials,Partially Delivered,145,47.49,42.76,6,Yes,6886.05,19,Nov-23,685.85,4%
PO-00200,Delta_Logistics,02-05-2023,17-05-2023,Raw Materials,Delivered,1973,59.73,54.95,291,Yes,117847.29,15,May-23,9430.94,15%
PO-00201,Epsilon_Group,17-07-2023,01-08-2023,Office Supplies,Delivered,1807,78.63,73.08,100,Yes,142084.41,15,Jul-23,10028.85,6%
PO-00202,Epsilon_Group,19-06-2022,20-06-2022,Electronics,Delivered,534,13.88,12.51,100,Yes,7411.92,1,Jun-22,731.58,19%
PO-00203,Alpha_Inc,29-09-2022,14-10-2022,Electronics,Delivered,1480,85.22,75.48,100,Yes,126125.6,15,Sep-22,14415.2,7%
PO-00204,Alpha_Inc,25-06-2023,,Office Supplies,Delivered,280,72.16,62.38,100,Yes,20204.8,-45102,Jun-23,2738.4,36%
PO-00205,Beta_Supplies,14-09-2023,20-09-2023,Office Supplies,Cancelled,798,19.09,17.76,100,Yes,15233.82,6,Sep-23,1061.34,13%
PO-00206,Epsilon_Group,10-03-2023,22-03-2023,Electronics,Delivered,1728,94.83,90.2,100,Yes,163866.24,12,Mar-23,8000.64,6%
PO-00207,Epsilon_Group,05-08-2022,,MRO,Delivered,1244,96.13,84.78,43,Yes,119585.72,-44778,Aug-22,14119.4,3%
PO-00208,Beta_Supplies,07-07-2023,21-07-2023,Office Supplies,Delivered,590,16.89,15.56,46,No,9965.1,14,Jul-23,784.7,8%
PO-00209,Delta_Logistics,08-12-2023,23-12-2023,Packaging,Delivered,1109,38.93,33.33,152,Yes,43173.37,15,Dec-23,6210.4,14%
PO-00210,Beta_Supplies,25-07-2022,01-08-2022,MRO,Delivered,574,85.03,82.55,54,Yes,48807.22,7,Jul-22,1423.52,9%
PO-00211,Gamma_Co,01-01-2024,,Office Supplies,Delivered,1233,86.62,76.59,65,Yes,106802.46,-45292,Jan-24,12366.99,5%
PO-00212,Gamma_Co,16-11-2022,20-11-2022,Packaging,Delivered,1912,27.94,25.59,83,No,53421.28,4,Nov-22,4493.2,4%
PO-00213,Alpha_Inc,13-02-2023,04-03-2023,Packaging,Delivered,1772,30.72,27.76,46,No,54435.84,19,Feb-23,5245.12,3%
PO-00214,Beta_Supplies,19-11-2023,29-11-2023,Office Supplies,Delivered,1316,48.11,41.9,135,Yes,63312.76,10,Nov-23,8172.36,10%
PO-00215,Beta_Supplies,28-10-2023,,Office Supplies,Delivered,1159,59.24,58.08,,Yes,68659.16,-45227,Oct-23,1344.44,0%
PO-00216,Alpha_Inc,18-01-2023,31-01-2023,Office Supplies,Delivered,1869,69.58,67.5,31,Yes,130045.02,13,Jan-23,3887.52,2%
PO-00217,Delta_Logistics,25-03-2023,13-04-2023,Packaging,Delivered,627,46.23,42.87,,Yes,28986.21,19,Mar-23,2106.72,0%
PO-00218,Beta_Supplies,14-06-2023,16-06-2023,Raw Materials,Pending,731,56.02,54.78,70,No,40950.62,2,Jun-23,906.44,10%
PO-00219,Epsilon_Group,08-04-2023,,Office Supplies,Cancelled,606,83.07,79.22,16,Yes,50340.42,-45024,Apr-23,2333.1,3%
PO-00220,Beta_Supplies,04-05-2022,14-05-2022,Office Supplies,Delivered,1647,13.57,12.33,157,Yes,22349.79,10,May-22,2042.28,10%
PO-00221,Delta_Logistics,11-09-2022,19-09-2022,MRO,Delivered,1062,34.03,30.46,,Yes,36139.86,8,Sep-22,3791.34,0%
PO-00222,Beta_Supplies,19-08-2022,31-08-2022,Office Supplies,Delivered,695,76.8,69.76,,No,53376,12,Aug-22,4892.8,0%
PO-00223,Epsilon_Group,07-03-2022,14-03-2022,MRO,Delivered,845,91.47,86.97,,Yes,77292.15,7,Mar-22,3802.5,0%
PO-00224,Gamma_Co,13-12-2022,18-12-2022,MRO,Delivered,1101,59.13,52.51,54,Yes,65102.13,5,Dec-22,7288.62,5%
PO-00225,Gamma_Co,22-01-2022,24-01-2022,Raw Materials,Delivered,1693,57.89,49.84,88,Yes,98007.77,2,Jan-22,13628.65,5%
PO-00226,Delta_Logistics,26-08-2023,10-09-2023,Office Supplies,Cancelled,1629,21.51,19.41,250,No,35039.79,15,Aug-23,3420.9,15%
PO-00227,Delta_Logistics,22-07-2023,03-08-2023,Raw Materials,Delivered,1413,54.79,50.42,,Yes,77418.27,12,Jul-23,6174.81,0%
PO-00228,Epsilon_Group,24-08-2022,27-08-2022,Packaging,Delivered,1871,59.96,58.54,47,Yes,112185.16,3,Aug-22,2656.82,3%
PO-00229,Gamma_Co,26-08-2023,,Raw Materials,Delivered,1404,34.85,30.5,78,Yes,48929.4,-45164,Aug-23,6107.4,6%
PO-00230,Gamma_Co,14-08-2022,28-08-2022,Electronics,Delivered,1713,35.43,34.11,74,Yes,60691.59,14,Aug-22,2261.16,4%
PO-00231,Gamma_Co,08-01-2022,13-01-2022,Electronics,Delivered,1579,43.96,43.41,74,Yes,69412.84,5,Jan-22,868.45,5%
PO-00232,Gamma_Co,14-03-2022,26-03-2022,Electronics,Delivered,1421,11.92,11.72,76,Yes,16938.32,12,Mar-22,284.2,5%
PO-00233,Epsilon_Group,26-12-2023,04-01-2024,MRO,Delivered,1546,43.47,37.37,53,Yes,67204.62,9,Dec-23,9430.6,3%
PO-00234,Delta_Logistics,09-10-2023,18-10-2023,Electronics,Delivered,1304,32.08,29.36,,Yes,41832.32,9,Oct-23,3546.88,0%
PO-00235,Delta_Logistics,02-03-2022,,Raw Materials,Delivered,239,39.87,35.47,32,Yes,9528.93,-44622,Mar-22,1051.6,13%
PO-00236,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,1298,21.51,20.83,,Yes,27919.98,-44796,Aug-22,882.64,0%
PO-00237,Delta_Logistics,11-03-2022,,MRO,Delivered,1458,91.05,81.56,220,Yes,132750.9,-44631,Mar-22,13836.42,15%
PO-00238,Gamma_Co,02-02-2022,13-02-2022,MRO,Delivered,1450,63.74,59.11,71,Yes,92423,11,Feb-22,6713.5,5%
PO-00239,Beta_Supplies,05-12-2022,20-12-2022,Electronics,Delivered,1356,75.03,63.86,131,Yes,101740.68,15,Dec-22,15146.52,10%
PO-00240,Gamma_Co,14-03-2022,,Packaging,Delivered,682,81.84,71.86,40,Yes,55814.88,-44634,Mar-22,6806.36,6%
PO-00241,Gamma_Co,11-06-2023,19-06-2023,Packaging,Delivered,677,59.52,55.29,39,Yes,40295.04,8,Jun-23,2863.71,6%
PO-00242,Delta_Logistics,01-09-2022,14-09-2022,Office Supplies,Delivered,1022,18.54,16.55,150,Yes,18947.88,13,Sep-22,2033.78,15%
PO-00243,Alpha_Inc,13-10-2022,,Raw Materials,Delivered,1818,60.96,57.13,41,Yes,110825.28,-44847,Oct-22,6962.94,2%
PO-00244,Epsilon_Group,17-11-2023,29-11-2023,Electronics,Delivered,1332,69.73,63.8,41,Yes,92880.36,12,Nov-23,7898.76,3%
PO-00245,Beta_Supplies,13-05-2023,26-05-2023,Raw Materials,Delivered,1432,83.26,77.67,174,Yes,119228.32,13,May-23,8004.88,12%
PO-00246,Beta_Supplies,08-08-2022,26-08-2022,Packaging,Pending,759,50.56,46.47,63,No,38375.04,18,Aug-22,3104.31,8%
PO-00247,Alpha_Inc,07-07-2023,19-07-2023,Packaging,Delivered,1529,23.42,22.44,30,Yes,35809.18,12,Jul-23,1498.42,2%
PO-00248,Gamma_Co,16-05-2022,25-05-2022,Electronics,Delivered,1484,36.25,31.8,61,Yes,53795,9,May-22,6603.8,4%
PO-00249,Epsilon_Group,08-08-2023,20-08-2023,Packaging,Delivered,698,46.73,45.61,15,Yes,32617.54,12,Aug-23,781.76,2%
PO-00250,Epsilon_Group,14-08-2023,22-08-2023,Packaging,Pending,367,74.61,71.36,13,Yes,27381.87,8,Aug-23,1192.75,4%
PO-00251,Epsilon_Group,30-04-2023,20-05-2023,Office Supplies,Partially Delivered,1750,65.97,58.34,50,Yes,115447.5,20,Apr-23,13352.5,3%
PO-00252,Delta_Logistics,06-09-2022,24-09-2022,Office Supplies,Partially Delivered,1298,43.73,37.21,,No,56761.54,18,Sep-22,8462.96,0%
PO-00253,Gamma_Co,30-04-2023,20-05-2023,Packaging,Delivered,1892,106.2,96.37,93,Yes,200930.4,20,Apr-23,18598.36,5%
PO-00254,Beta_Supplies,21-02-2023,24-02-2023,Electronics,Delivered,1307,68.71,60.64,141,Yes,89803.97,3,Feb-23,10547.49,11%
PO-00255,Beta_Supplies,14-07-2022,29-07-2022,Electronics,Delivered,733,32.29,29.01,78,Yes,23668.57,15,Jul-22,2404.24,11%
PO-00256,Gamma_Co,07-04-2022,,Packaging,Delivered,713,19.45,18.82,31,Yes,13867.85,-44658,Apr-22,449.19,4%
PO-00257,Beta_Supplies,10-04-2022,24-04-2022,Packaging,Delivered,1900,24.11,23.45,188,Yes,45809,14,Apr-22,1254,10%
PO-00258,Delta_Logistics,06-11-2023,08-11-2023,MRO,Cancelled,1447,35.67,35.07,224,No,51614.49,2,Nov-23,868.2,15%
PO-00259,Epsilon_Group,18-03-2023,,Office Supplies,Delivered,1745,26.17,22.25,55,Yes,45666.65,-45003,Mar-23,6840.4,3%
PO-00260,Beta_Supplies,29-12-2022,14-01-2023,Office Supplies,Delivered,1681,28.26,26.62,143,Yes,47505.06,16,Dec-22,2756.84,9%
PO-00261,Delta_Logistics,10-03-2023,18-03-2023,Electronics,Delivered,1545,38.15,36.96,214,Yes,58941.75,8,Mar-23,1838.55,14%
PO-00262,Epsilon_Group,25-02-2023,02-03-2023,Raw Materials,Delivered,1306,27.27,25.96,39,Yes,35614.62,5,Feb-23,1710.86,3%
PO-00263,Gamma_Co,24-04-2023,06-05-2023,Raw Materials,Delivered,1765,97.51,84.3,65,Yes,172105.15,12,Apr-23,23315.65,4%
PO-00264,Gamma_Co,25-02-2022,15-03-2022,Packaging,Cancelled,1186,17.31,16,64,Yes,20529.66,18,Feb-22,1553.66,5%
PO-00265,Delta_Logistics,21-11-2023,26-11-2023,Packaging,Delivered,1903,63.5,56.09,254,Yes,120840.5,5,Nov-23,14101.23,13%
PO-00266,Delta_Logistics,01-11-2023,05-11-2023,MRO,Delivered,1570,52.1,47.87,,No,81797,4,Nov-23,6641.1,0%
PO-00267,Delta_Logistics,24-10-2023,13-11-2023,MRO,Delivered,491,108.75,93.35,,No,53396.25,20,Oct-23,7561.4,0%
PO-00268,Beta_Supplies,11-04-2022,20-04-2022,Electronics,Partially Delivered,613,20.38,20.17,58,Yes,12492.94,9,Apr-22,128.73,9%
PO-00269,Gamma_Co,04-03-2022,16-03-2022,Raw Materials,Partially Delivered,1341,46.27,43.94,63,Yes,62048.07,12,Mar-22,3124.53,5%
PO-00270,Beta_Supplies,17-02-2023,04-03-2023,MRO,Partially Delivered,1583,103.57,89.38,164,Yes,163951.31,15,Feb-23,22462.77,10%
PO-00271,Beta_Supplies,14-12-2022,,Raw Materials,Cancelled,1880,92.73,90.78,173,Yes,174332.4,-44909,Dec-22,3666,9%
PO-00272,Epsilon_Group,22-04-2022,26-04-2022,MRO,Delivered,1459,84.79,82.72,47,Yes,123708.61,4,Apr-22,3020.13,3%
PO-00273,Delta_Logistics,12-09-2022,,Office Supplies,Delivered,1460,34.54,31.87,208,No,50428.4,-44816,Sep-22,3898.2,14%
PO-00274,Beta_Supplies,16-07-2022,28-07-2022,Packaging,Partially Delivered,1186,26.14,24.78,112,Yes,31002.04,12,Jul-22,1612.96,9%
PO-00275,Epsilon_Group,14-07-2022,23-07-2022,MRO,Pending,1686,72.28,65.21,53,Yes,121864.08,9,Jul-22,11920.02,3%
PO-00276,Alpha_Inc,04-07-2023,08-07-2023,MRO,Delivered,1698,102.07,100.69,28,Yes,173314.86,4,Jul-23,2343.24,2%
PO-00277,Epsilon_Group,05-04-2023,,Electronics,Delivered,1001,64.62,55.7,32,Yes,64684.62,-45021,Apr-23,8928.92,3%
PO-00278,Alpha_Inc,24-05-2022,27-05-2022,Office Supplies,Delivered,1154,62.67,54.11,25,Yes,72321.18,3,May-22,9878.24,2%
PO-00279,Alpha_Inc,09-03-2023,29-03-2023,Packaging,Cancelled,748,37.66,32.71,,No,28169.68,20,Mar-23,3702.6,0%
PO-00280,Alpha_Inc,07-07-2022,,Office Supplies,Delivered,162,81.63,78.76,2,Yes,13224.06,-44749,Jul-22,464.94,1%
PO-00281,Alpha_Inc,13-10-2022,24-10-2022,Packaging,Delivered,51,28.04,24.13,0,Yes,1430.04,11,Oct-22,199.41,0%
PO-00282,Delta_Logistics,19-04-2023,24-04-2023,Office Supplies,Delivered,691,42.07,39.1,106,Yes,29070.37,5,Apr-23,2052.27,15%
PO-00283,Beta_Supplies,13-09-2022,20-09-2022,Office Supplies,Delivered,269,50.22,45.75,32,No,13509.18,7,Sep-22,1202.43,12%
PO-00284,Beta_Supplies,19-03-2022,06-04-2022,Electronics,Pending,1639,56.24,55.4,147,Yes,92177.36,18,Mar-22,1376.76,9%
PO-00285,Alpha_Inc,30-03-2023,06-04-2023,Raw Materials,Delivered,904,34.04,30.06,26,Yes,30772.16,7,Mar-23,3597.92,3%
PO-00286,Beta_Supplies,18-07-2023,26-07-2023,Office Supplies,Delivered,1809,22.17,19.65,,Yes,40105.53,8,Jul-23,4558.68,0%
PO-00287,Alpha_Inc,11-04-2022,16-04-2022,Packaging,Delivered,1298,65.93,58.95,,Yes,85577.14,5,Apr-22,9060.04,0%
PO-00288,Beta_Supplies,21-02-2022,13-03-2022,Packaging,Delivered,434,36.16,34.79,41,Yes,15693.44,20,Feb-22,594.58,9%
PO-00289,Epsilon_Group,30-10-2023,04-11-2023,Electronics,Delivered,1476,68.85,65.28,43,Yes,101622.6,5,Oct-23,5269.32,3%
PO-00290,Delta_Logistics,08-07-2023,,Raw Materials,Partially Delivered,1711,26.04,24.81,290,Yes,44554.44,-45115,Jul-23,2104.53,17%
PO-00291,Gamma_Co,16-01-2022,22-01-2022,Packaging,Delivered,1203,53.3,47.68,49,Yes,64119.9,6,Jan-22,6760.86,4%
PO-00292,Alpha_Inc,06-04-2022,07-04-2022,Electronics,Delivered,1126,58.8,52.22,,Yes,66208.8,1,Apr-22,7409.08,0%
PO-00293,Epsilon_Group,31-08-2022,12-09-2022,Packaging,Delivered,1757,15.18,13.06,63,Yes,26671.26,12,Aug-22,3724.84,4%
PO-00294,Epsilon_Group,20-06-2022,28-06-2022,MRO,Delivered,779,41.3,36.28,20,Yes,32172.7,8,Jun-22,3910.58,3%
PO-00295,Delta_Logistics,21-02-2023,22-02-2023,Office Supplies,Delivered,1745,23.53,22.57,282,No,41059.85,1,Feb-23,1675.2,16%
PO-00296,Delta_Logistics,13-05-2023,15-05-2023,Raw Materials,Delivered,1783,16.96,15.8,295,Yes,30239.68,2,May-23,2068.28,17%
PO-00297,Alpha_Inc,08-05-2023,22-05-2023,Office Supplies,Partially Delivered,1489,107.02,93.3,,Yes,159352.78,14,May-23,20429.08,0%
PO-00298,Alpha_Inc,07-08-2022,10-08-2022,Office Supplies,Delivered,296,40.38,35.25,,Yes,11952.48,3,Aug-22,1518.48,0%
PO-00299,Epsilon_Group,15-02-2023,27-02-2023,MRO,Delivered,885,88.28,80.8,31,Yes,78127.8,12,Feb-23,6619.8,4%
PO-00300,Epsilon_Group,02-03-2022,06-03-2022,Raw Materials,Pending,1512,33.25,30.15,53,Yes,50274,4,Mar-22,4687.2,4%
PO-00301,Delta_Logistics,18-06-2022,26-06-2022,Office Supplies,Delivered,252,73.12,67.64,,No,18426.24,8,Jun-22,1380.96,0%
PO-00302,Alpha_Inc,24-01-2023,,Electronics,Cancelled,1257,83.13,81.89,30,Yes,104494.41,-44950,Jan-23,1558.68,2%
PO-00303,Alpha_Inc,03-01-2022,20-01-2022,Packaging,Delivered,172,63.61,55.92,4,Yes,10940.92,17,Jan-22,1322.68,2%
PO-00304,Epsilon_Group,04-02-2023,05-02-2023,Packaging,Pending,450,55.85,49.88,9,Yes,25132.5,1,Feb-23,2686.5,2%
PO-00305,Gamma_Co,29-09-2022,15-10-2022,Electronics,Delivered,816,48.95,43.42,45,Yes,39943.2,16,Sep-22,4512.48,6%
PO-00306,Epsilon_Group,11-04-2023,25-04-2023,Packaging,Delivered,343,44.5,38.57,7,Yes,15263.5,14,Apr-23,2033.99,2%
PO-00307,Gamma_Co,20-10-2022,05-11-2022,MRO,Delivered,329,97.87,85.35,21,No,32199.23,16,Oct-22,4119.08,6%
PO-00308,Alpha_Inc,10-03-2023,25-03-2023,Electronics,Delivered,1910,90.69,85.8,,Yes,173217.9,15,Mar-23,9339.9,0%
PO-00309,Epsilon_Group,15-12-2023,18-12-2023,MRO,Delivered,933,107.99,104.29,29,Yes,100754.67,3,Dec-23,3452.1,3%
PO-00310,Delta_Logistics,24-07-2023,29-07-2023,Raw Materials,Delivered,1683,23.09,21.88,253,Yes,38860.47,5,Jul-23,2036.43,15%
PO-00311,Beta_Supplies,09-11-2023,18-11-2023,Packaging,Pending,247,84.11,71.97,,Yes,20775.17,9,Nov-23,2998.58,0%
PO-00312,Alpha_Inc,14-05-2023,02-06-2023,MRO,Delivered,1031,102.01,98.65,,Yes,105172.31,19,May-23,3464.16,0%
PO-00313,Alpha_Inc,08-06-2022,19-06-2022,Packaging,Delivered,1980,26.97,24.16,41,Yes,53400.6,11,Jun-22,5563.8,2%
PO-00314,Epsilon_Group,14-07-2022,03-08-2022,Raw Materials,Delivered,1584,16.46,14.2,57,Yes,26072.64,20,Jul-22,3579.84,4%
PO-00315,Beta_Supplies,31-10-2022,15-11-2022,Office Supplies,Delivered,801,80.15,70.91,,Yes,64200.15,15,Oct-22,7401.24,0%
PO-00316,Beta_Supplies,11-08-2022,25-08-2022,Packaging,Delivered,193,63.86,57.46,,Yes,12324.98,14,Aug-22,1235.2,0%
PO-00317,Beta_Supplies,01-03-2022,05-03-2022,Raw Materials,Delivered,658,86.62,79.85,72,Yes,56995.96,4,Mar-22,4454.66,11%
PO-00318,Epsilon_Group,17-08-2023,04-09-2023,Electronics,Delivered,1274,24.72,23.36,37,Yes,31493.28,18,Aug-23,1732.64,3%
PO-00319,Epsilon_Group,10-07-2023,17-07-2023,Packaging,Partially Delivered,1197,88.92,78.82,31,Yes,106437.24,7,Jul-23,12089.7,3%
PO-00320,Gamma_Co,04-03-2022,12-03-2022,Electronics,Delivered,236,28.43,28.11,11,Yes,6709.48,8,Mar-22,75.52,5%
PO-00321,Gamma_Co,18-11-2022,03-12-2022,Raw Materials,Partially Delivered,1399,25.97,22.19,62,Yes,36332.03,15,Nov-22,5288.22,4%
PO-00322,Gamma_Co,28-02-2022,04-03-2022,Electronics,Delivered,513,24.91,22.58,29,Yes,12778.83,4,Feb-22,1195.29,6%
PO-00323,Delta_Logistics,21-02-2022,04-03-2022,MRO,Delivered,1422,83.73,76.47,198,Yes,119064.06,11,Feb-22,10323.72,14%
PO-00324,Alpha_Inc,22-08-2023,03-09-2023,Office Supplies,Delivered,1844,76.51,73.05,,Yes,141084.44,12,Aug-23,6380.24,0%
PO-00325,Gamma_Co,04-05-2023,,Electronics,Delivered,709,61.64,54.55,41,Yes,43702.76,-45050,May-23,5026.81,6%
PO-00326,Delta_Logistics,30-05-2023,15-06-2023,MRO,Delivered,813,45.68,41.78,,No,37137.84,16,May-23,3170.7,0%
PO-00327,Delta_Logistics,28-06-2023,01-07-2023,Office Supplies,Delivered,1004,96.51,92.9,146,No,96896.04,3,Jun-23,3624.44,15%
PO-00328,Epsilon_Group,11-06-2022,15-06-2022,Raw Materials,Delivered,452,46.45,40.39,9,Yes,20995.4,4,Jun-22,2739.12,2%
PO-00329,Beta_Supplies,28-02-2022,12-03-2022,Raw Materials,Pending,1419,83.91,71.46,137,Yes,119068.29,12,Feb-22,17666.55,10%
PO-00330,Beta_Supplies,05-06-2023,23-06-2023,Packaging,Delivered,1584,53.73,51.92,167,No,85108.32,18,Jun-23,2867.04,11%
PO-00331,Gamma_Co,24-03-2022,11-04-2022,MRO,Pending,196,44.36,43.81,6,Yes,8694.56,18,Mar-22,107.8,3%
PO-00332,Alpha_Inc,10-07-2022,14-07-2022,Office Supplies,Delivered,1221,53.19,46.18,29,Yes,64944.99,4,Jul-22,8559.21,2%
PO-00333,Alpha_Inc,12-03-2022,26-03-2022,Packaging,Delivered,913,37.5,36.2,,Yes,34237.5,14,Mar-22,1186.9,0%
PO-00334,Alpha_Inc,02-09-2023,04-09-2023,Packaging,Delivered,1784,85.01,76.69,37,Yes,151657.84,2,Sep-23,14842.88,2%
PO-00335,Delta_Logistics,11-03-2022,,Raw Materials,Delivered,1893,55.8,52.35,,Yes,105629.4,-44631,Mar-22,6530.85,0%
PO-00336,Delta_Logistics,23-11-2023,05-12-2023,Electronics,Pending,538,34.3,32.25,84,No,18453.4,12,Nov-23,1102.9,16%
PO-00337,Delta_Logistics,29-08-2022,15-09-2022,Office Supplies,Pending,978,94.15,87.7,149,No,92078.7,17,Aug-22,6308.1,15%
PO-00338,Epsilon_Group,18-02-2023,06-03-2023,Raw Materials,Cancelled,1713,47.45,42.05,53,Yes,81281.85,16,Feb-23,9250.2,3%
PO-00339,Delta_Logistics,03-05-2022,07-05-2022,Raw Materials,Pending,600,60.1,57.92,95,No,36060,4,May-22,1308,16%
PO-00340,Alpha_Inc,07-08-2023,25-08-2023,Electronics,Pending,387,100.28,85.54,5,Yes,38808.36,18,Aug-23,5704.38,1%
PO-00341,Alpha_Inc,10-09-2022,19-09-2022,MRO,Pending,921,68.83,59.13,22,Yes,63392.43,9,Sep-22,8933.7,2%
PO-00342,Beta_Supplies,16-08-2023,30-08-2023,MRO,Delivered,690,22.47,21.94,77,Yes,15504.3,14,Aug-23,365.7,11%
PO-00343,Alpha_Inc,01-09-2023,21-09-2023,Office Supplies,Cancelled,1852,104.04,94.89,36,Yes,192682.08,20,Sep-23,16945.8,2%
PO-00344,Delta_Logistics,10-02-2022,28-02-2022,Electronics,Delivered,522,66.83,58.01,74,Yes,34885.26,18,Feb-22,4604.04,14%
PO-00345,Delta_Logistics,27-09-2023,06-10-2023,Electronics,Delivered,200,44.16,43.13,21,Yes,8832,9,Sep-23,206,11%
PO-00346,Gamma_Co,25-03-2022,03-04-2022,Packaging,Delivered,1488,22.76,21.99,,Yes,33866.88,9,Mar-22,1145.76,0%
PO-00347,Epsilon_Group,06-03-2023,16-03-2023,Electronics,Delivered,1371,87.16,78.13,43,Yes,119496.36,10,Mar-23,12380.13,3%
PO-00348,Alpha_Inc,05-11-2023,,Office Supplies,Delivered,1684,73.05,62.53,,Yes,123016.2,-45235,Nov-23,17715.68,0%
PO-00349,Epsilon_Group,21-08-2023,27-08-2023,Electronics,Delivered,312,63.52,58.09,,Yes,19818.24,6,Aug-23,1694.16,0%
PO-00350,Alpha_Inc,02-08-2023,21-08-2023,Packaging,Cancelled,1837,99.04,86.51,39,Yes,181936.48,19,Aug-23,23017.61,2%
PO-00351,Beta_Supplies,20-06-2023,23-06-2023,MRO,Delivered,193,87.86,81.74,21,Yes,16956.98,3,Jun-23,1181.16,11%
PO-00352,Beta_Supplies,20-11-2022,21-11-2022,Electronics,Delivered,395,24.83,23.96,31,Yes,9807.85,1,Nov-22,343.65,8%
PO-00353,Epsilon_Group,25-09-2022,12-10-2022,Electronics,Cancelled,673,39.58,35.83,25,Yes,26637.34,17,Sep-22,2523.75,4%
PO-00354,Delta_Logistics,29-07-2022,12-08-2022,Office Supplies,Cancelled,1066,33.33,28.47,162,No,35529.78,14,Jul-22,5180.76,15%
PO-00355,Gamma_Co,17-11-2023,23-11-2023,Packaging,Delivered,1645,85.42,80.78,73,No,140515.9,6,Nov-23,7632.8,4%
PO-00356,Alpha_Inc,18-11-2022,29-11-2022,Electronics,Delivered,930,13.67,11.95,16,Yes,12713.1,11,Nov-22,1599.6,2%
PO-00357,Alpha_Inc,02-09-2022,21-09-2022,Office Supplies,Delivered,51,63.74,56.1,0,Yes,3250.74,19,Sep-22,389.64,0%
PO-00358,Gamma_Co,29-09-2022,01-10-2022,Packaging,Delivered,946,81.77,71.65,55,Yes,77354.42,2,Sep-22,9573.52,6%
PO-00359,Epsilon_Group,10-02-2023,02-03-2023,Raw Materials,Partially Delivered,1377,94.69,84.2,,Yes,130388.13,20,Feb-23,14444.73,0%
PO-00360,Epsilon_Group,15-05-2022,18-05-2022,Packaging,Cancelled,303,41.6,40.51,11,Yes,12604.8,3,May-22,330.27,4%
PO-00361,Alpha_Inc,19-11-2023,03-12-2023,Raw Materials,Delivered,1725,93.14,79.62,24,Yes,160666.5,14,Nov-23,23322,1%
PO-00362,Beta_Supplies,23-10-2023,07-11-2023,Raw Materials,Cancelled,502,22.05,20.65,50,No,11069.1,15,Oct-23,702.8,10%
PO-00363,Gamma_Co,04-11-2022,11-11-2022,Packaging,Delivered,1110,90.49,80.03,61,Yes,100443.9,7,Nov-22,11610.6,5%
PO-00364,Alpha_Inc,14-04-2023,18-04-2023,Packaging,Delivered,1233,23.08,20.57,,Yes,28457.64,4,Apr-23,3094.83,0%
PO-00365,Beta_Supplies,20-11-2022,24-11-2022,Office Supplies,Delivered,1064,48.04,43.6,94,Yes,51114.56,4,Nov-22,4724.16,9%
